Ticker,Field,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2
CSCO,Interest Expense Non Operating,357000000.0,120000000.0,111000000.0,111000000.0,
CSCO,Interest Income Non Operating,411000000.0,324000000.0,360000000.0,312000000.0,
CSCO,Operating Income,2733000000.0,3108000000.0,4399000000.0,4456000000.0,
CSCO,Operating Expense,5540000000.0,5109000000.0,5158000000.0,5292000000.0,
CSCO,Depreciation Amortization Depletion Income Statement,297000000.0,66000000.0,67000000.0,70000000.0,
CSCO,Depreciation And Amortization In Income Statement,297000000.0,66000000.0,67000000.0,70000000.0,
CSCO,Amortization,297000000.0,66000000.0,67000000.0,70000000.0,
CSCO,Amortization Of Intangibles Income Statement,297000000.0,66000000.0,67000000.0,70000000.0,
CSCO,Research And Development,1948000000.0,1943000000.0,1913000000.0,1953000000.0,
CSCO,Selling General And Administration,3295000000.0,3100000000.0,3178000000.0,3269000000.0,
CSCO,Selling And Marketing Expense,2559000000.0,2458000000.0,2506000000.0,2579000000.0,
CSCO,General And Administrative Expense,736000000.0,642000000.0,672000000.0,690000000.0,
CSCO,Other Gand A,736000000.0,642000000.0,672000000.0,690000000.0,
CSCO,Gross Profit,8273000000.0,8217000000.0,9557000000.0,9748000000.0,
CSCO,Cost Of Revenue,4429000000.0,4574000000.0,5111000000.0,5455000000.0,
CSCO,Total Revenue,12702000000.0,12791000000.0,14668000000.0,15203000000.0,
CSCO,Operating Revenue,12702000000.0,12791000000.0,14668000000.0,15203000000.0,
CSCO,Treasury Shares Number,,0.0,,,
CSCO,Ordinary Shares Number,4031000000.0,4050000000.0,4049000000.0,4066000000.0,
CSCO,Share Issued,4031000000.0,4050000000.0,4049000000.0,4066000000.0,
CSCO,Net Debt,23080000000.0,,,,
CSCO,Total Debt,31993000000.0,11605000000.0,7650000000.0,8391000000.0,
CSCO,Tangible Book Value,-24684000000.0,5486000000.0,4396000000.0,4000000000.0,
CSCO,Invested Capital,77761000000.0,57856000000.0,52860000000.0,52744000000.0,
CSCO,Working Capital,-4222000000.0,11276000000.0,12624000000.0,12039000000.0,
CSCO,Net Tangible Assets,-24684000000.0,5486000000.0,4396000000.0,4000000000.0,
CSCO,Common Stock Equity,45768000000.0,46251000000.0,45210000000.0,44353000000.0,
CSCO,Total Capitalization,65870000000.0,52920000000.0,51870000000.0,51011000000.0,
CSCO,Total Equity Gross Minority Interest,45768000000.0,46251000000.0,45210000000.0,44353000000.0,
CSCO,Stockholders Equity,45768000000.0,46251000000.0,45210000000.0,44353000000.0,
CSCO,Gains Losses Not Affecting Retained Earnings,-1630000000.0,-1512000000.0,-2025000000.0,-1575000000.0,
CSCO,Other Equity Adjustments,-1630000000.0,-1512000000.0,-2025000000.0,-1575000000.0,
CSCO,Retained Earnings,2055000000.0,2761000000.0,2689000000.0,1639000000.0,
CSCO,Capital Stock,45343000000.0,45002000000.0,44546000000.0,44289000000.0,
CSCO,Common Stock,45343000000.0,45002000000.0,44546000000.0,44289000000.0,
CSCO,Preferred Stock,0.0,0.0,0.0,0.0,
CSCO,Total Liabilities Net Minority Interest,77230000000.0,54923000000.0,53572000000.0,57499000000.0,
CSCO,Total Non Current Liabilities Net Minority Interest,37122000000.0,24072000000.0,26537000000.0,26190000000.0,
CSCO,Other Non Current Liabilities,2427000000.0,2253000000.0,2240000000.0,2134000000.0,
CSCO,Tradeand Other Payables Non Current,2869000000.0,3390000000.0,5790000000.0,5756000000.0,
CSCO,Non Current Deferred Liabilities,11724000000.0,11760000000.0,11847000000.0,11642000000.0,
CSCO,Non Current Deferred Revenue,11724000000.0,11760000000.0,11847000000.0,11642000000.0,
CSCO,Long Term Debt And Capital Lease Obligation,20102000000.0,6669000000.0,6660000000.0,6658000000.0,
CSCO,Long Term Debt,20102000000.0,6669000000.0,6660000000.0,6658000000.0,
CSCO,Current Liabilities,40108000000.0,30851000000.0,27035000000.0,31309000000.0,
CSCO,Other Current Liabilities,5334000000.0,4964000000.0,4730000000.0,5136000000.0,
CSCO,Current Deferred Liabilities,15751000000.0,14011000000.0,13812000000.0,13908000000.0,
CSCO,Current Deferred Revenue,15751000000.0,14011000000.0,13812000000.0,13908000000.0,
CSCO,Current Debt And Capital Lease Obligation,11891000000.0,4936000000.0,990000000.0,1733000000.0,
CSCO,Current Debt,11891000000.0,4936000000.0,990000000.0,1733000000.0,
CSCO,Other Current Borrowings,,997000000.0,990000000.0,1733000000.0,
CSCO,Commercial Paper,11891000000.0,3939000000.0,,0.0,
CSCO,Pensionand Other Post Retirement Benefit Plans Current,3211000000.0,3216000000.0,3039000000.0,3984000000.0,
CSCO,Payables And Accrued Expenses,3921000000.0,3724000000.0,4464000000.0,6548000000.0,
CSCO,Payables,3921000000.0,3724000000.0,4464000000.0,6548000000.0,
CSCO,Total Tax Payable,1867000000.0,1876000000.0,2380000000.0,4235000000.0,
CSCO,Income Tax Payable,1867000000.0,1876000000.0,2380000000.0,4235000000.0,
CSCO,Accounts Payable,2054000000.0,1848000000.0,2084000000.0,2313000000.0,
CSCO,Total Assets,122998000000.0,101174000000.0,98782000000.0,101852000000.0,
CSCO,Total Non Current Assets,87112000000.0,59047000000.0,59123000000.0,58504000000.0,
CSCO,Other Non Current Assets,5882000000.0,5575000000.0,5879000000.0,6007000000.0,
CSCO,Non Current Deferred Assets,5527000000.0,7338000000.0,7102000000.0,6576000000.0,
CSCO,Non Current Deferred Taxes Assets,5527000000.0,7338000000.0,7102000000.0,6576000000.0,
CSCO,Non Current Note Receivables,2563000000.0,2731000000.0,2685000000.0,,
CSCO,Non Current Accounts Receivable,688000000.0,633000000.0,639000000.0,3483000000.0,
CSCO,Goodwill And Other Intangible Assets,70452000000.0,40765000000.0,40814000000.0,40353000000.0,
CSCO,Other Intangible Assets,11819000000.0,1678000000.0,1914000000.0,1818000000.0,
CSCO,Goodwill,58633000000.0,39087000000.0,38900000000.0,38535000000.0,
CSCO,Net PPE,2000000000.0,2005000000.0,2004000000.0,2085000000.0,
CSCO,Accumulated Depreciation,-7796000000.0,-7830000000.0,-7798000000.0,-7973000000.0,
CSCO,Gross PPE,9796000000.0,9835000000.0,9802000000.0,10058000000.0,
CSCO,Other Properties,4531000000.0,4591000000.0,4588000000.0,4746000000.0,
CSCO,Machinery Furniture Equipment,1044000000.0,1030000000.0,1020000000.0,1083000000.0,
CSCO,Properties,4221000000.0,4214000000.0,4194000000.0,4229000000.0,
CSCO,Current Assets,35886000000.0,42127000000.0,39659000000.0,43348000000.0,
CSCO,Other Current Assets,5428000000.0,4887000000.0,4547000000.0,4352000000.0,
CSCO,Inventory,3118000000.0,3209000000.0,3342000000.0,3644000000.0,
CSCO,Other Inventories,10000000.0,13000000.0,13000000.0,16000000.0,
CSCO,Finished Goods,996000000.0,1047000000.0,1093000000.0,1493000000.0,
CSCO,Work In Process,111000000.0,165000000.0,194000000.0,264000000.0,
CSCO,Raw Materials,2001000000.0,1984000000.0,2042000000.0,1871000000.0,
CSCO,Receivables,8570000000.0,8360000000.0,8247000000.0,9206000000.0,
CSCO,Other Receivables,416000000.0,410000000.0,428000000.0,3352000000.0,
CSCO,Loans Receivable,3027000000.0,3066000000.0,2986000000.0,,
CSCO,Accounts Receivable,5127000000.0,4884000000.0,4833000000.0,5854000000.0,
CSCO,Allowance For Doubtful Accounts Receivable,-81000000.0,-79000000.0,-82000000.0,-85000000.0,
CSCO,Gross Accounts Receivable,5208000000.0,4963000000.0,4915000000.0,5939000000.0,
CSCO,Cash Cash Equivalents And Short Term Investments,18770000000.0,25671000000.0,23523000000.0,26146000000.0,
CSCO,Other Short Term Investments,9857000000.0,11956000000.0,13921000000.0,16023000000.0,
CSCO,Cash And Cash Equivalents,8913000000.0,13715000000.0,9602000000.0,10123000000.0,
CSCO,Free Cash Flow,3803000000.0,638000000.0,2237000000.0,5733000000.0,
CSCO,Repurchase Of Capital Stock,-2033000000.0,-1051000000.0,-1453000000.0,-1417000000.0,
CSCO,Repayment Of Debt,-4585000000.0,0.0,-750000000.0,0.0,
CSCO,Issuance Of Debt,21622000000.0,,,0.0,
CSCO,Issuance Of Capital Stock,-2000000.0,,,384000000.0,
CSCO,Capital Expenditure,-168000000.0,-170000000.0,-134000000.0,-233000000.0,
CSCO,Interest Paid Supplemental Data,147000000.0,75000000.0,128000000.0,70000000.0,
CSCO,Income Tax Paid Supplemental Data,346000000.0,3714000000.0,3090000000.0,1157000000.0,
CSCO,End Cash Position,10439000000.0,15218000000.0,11105000000.0,11627000000.0,
CSCO,Beginning Cash Position,15218000000.0,11105000000.0,11627000000.0,9546000000.0,
CSCO,Effect Of Exchange Rate Changes,-7000000.0,13000000.0,-45000000.0,-15000000.0,
CSCO,Changes In Cash,-4772000000.0,4100000000.0,-477000000.0,2096000000.0,
CSCO,Financing Cash Flow,14072000000.0,1079000000.0,-3800000000.0,-2650000000.0,
CSCO,Cash Flow From Continuing Financing Activities,14072000000.0,1079000000.0,-3800000000.0,-2650000000.0,
CSCO,Net Other Financing Charges,536000000.0,-571000000.0,-17000000.0,-28000000.0,
CSCO,Cash Dividends Paid,-1615000000.0,-1583000000.0,-1580000000.0,-1589000000.0,
CSCO,Common Stock Dividend Paid,-1615000000.0,-1583000000.0,-1580000000.0,-1589000000.0,
CSCO,Net Common Stock Issuance,-2035000000.0,-702000000.0,-1453000000.0,-1033000000.0,
CSCO,Common Stock Payments,-2033000000.0,-1051000000.0,-1453000000.0,-1417000000.0,
CSCO,Common Stock Issuance,-2000000.0,,,384000000.0,
CSCO,Net Issuance Payments Of Debt,17186000000.0,3935000000.0,-750000000.0,0.0,
CSCO,Net Short Term Debt Issuance,149000000.0,1398000000.0,0.0,0.0,
CSCO,Net Long Term Debt Issuance,17037000000.0,2537000000.0,-750000000.0,0.0,
CSCO,Long Term Debt Payments,-4585000000.0,0.0,-750000000.0,0.0,
CSCO,Long Term Debt Issuance,21622000000.0,,,0.0,
CSCO,Investing Cash Flow,-22815000000.0,2213000000.0,952000000.0,-1220000000.0,
CSCO,Cash Flow From Continuing Investing Activities,-22815000000.0,2213000000.0,952000000.0,-1220000000.0,
CSCO,Net Other Investing Changes,-1000000.0,-2000000.0,1000000.0,0.0,
CSCO,Net Investment Purchase And Sale,2350000000.0,2387000000.0,1961000000.0,-783000000.0,
CSCO,Sale Of Investment,3173000000.0,2827000000.0,3824000000.0,2459000000.0,
CSCO,Purchase Of Investment,-823000000.0,-440000000.0,-1863000000.0,-3242000000.0,
CSCO,Net Business Purchase And Sale,-24996000000.0,-2000000.0,-876000000.0,-205000000.0,
CSCO,Purchase Of Business,-24996000000.0,-2000000.0,-876000000.0,-205000000.0,
CSCO,Net PPE Purchase And Sale,-168000000.0,-170000000.0,-134000000.0,-232000000.0,
CSCO,Sale Of PPE,,,,1000000.0,
CSCO,Purchase Of PPE,-168000000.0,-170000000.0,-134000000.0,-233000000.0,
CSCO,Operating Cash Flow,3971000000.0,808000000.0,2371000000.0,5966000000.0,
CSCO,Cash Flow From Continuing Operating Activities,3971000000.0,808000000.0,2371000000.0,5966000000.0,
CSCO,Change In Working Capital,-184000000.0,-2871000000.0,-1909000000.0,1712000000.0,
CSCO,Change In Other Working Capital,-978000000.0,-2704000000.0,-2422000000.0,1995000000.0,
CSCO,Change In Other Current Liabilities,39000000.0,148000000.0,-273000000.0,372000000.0,
CSCO,Change In Other Current Assets,21000000.0,-113000000.0,-290000000.0,433000000.0,
CSCO,Change In Payables And Accrued Expense,176000000.0,-241000000.0,-235000000.0,-129000000.0,
CSCO,Change In Payable,176000000.0,-241000000.0,-235000000.0,-129000000.0,
CSCO,Change In Account Payable,176000000.0,-241000000.0,-235000000.0,-129000000.0,
CSCO,Change In Inventory,88000000.0,135000000.0,307000000.0,-175000000.0,
CSCO,Change In Receivables,470000000.0,-96000000.0,1004000000.0,-784000000.0,
CSCO,Changes In Account Receivables,345000000.0,-38000000.0,979000000.0,-760000000.0,
CSCO,Stock Based Compensation,811000000.0,802000000.0,661000000.0,633000000.0,
CSCO,Provisionand Write Offof Assets,7000000.0,8000000.0,4000000.0,20000000.0,
CSCO,Deferred Tax,571000000.0,-303000000.0,-513000000.0,-742000000.0,
CSCO,Deferred Income Tax,571000000.0,-303000000.0,-513000000.0,-742000000.0,
CSCO,Depreciation Amortization Depletion,861000000.0,422000000.0,401000000.0,422000000.0,
CSCO,Depreciation And Amortization,861000000.0,422000000.0,401000000.0,422000000.0,
CSCO,Depreciation,861000000.0,,,422000000.0,
CSCO,Operating Gains Losses,19000000.0,116000000.0,89000000.0,-37000000.0,
CSCO,Gain Loss On Sale Of Business,19000000.0,116000000.0,89000000.0,-37000000.0,
CSCO,Net Income From Continuing Operations,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
ISRG,Tax Effect Of Unusual Items,,0.0,0.0,0.0,0.0
ISRG,Tax Rate For Calcs,,0.017,0.21,0.196,0.147
ISRG,Normalized EBITDA,,578700000.0,573400000.0,574400000.0,560500000.0
ISRG,Net Income From Continuing Operation Net Minority Interest,,544900000.0,606200000.0,415700000.0,420800000.0
ISRG,Reconciled Depreciation,,109300000.0,123200000.0,108600000.0,97300000.0
ISRG,Reconciled Cost Of Revenue,,645200000.0,650900000.0,576500000.0,584000000.0
ISRG,EBITDA,,578700000.0,573400000.0,574400000.0,560500000.0
ISRG,EBIT,,469400000.0,450200000.0,465800000.0,463200000.0
ISRG,Net Interest Income,,69100000.0,65700000.0,56200000.0,36000000.0
ISRG,Interest Income,,,,,36000000.0
ISRG,Normalized Income,,544900000.0,606200000.0,415700000.0,420800000.0
ISRG,Net Income From Continuing And Discontinued Operation,,544900000.0,606200000.0,415700000.0,420800000.0
ISRG,Total Expenses,,1421200000.0,1478100000.0,1277900000.0,1292700000.0
ISRG,Total Operating Income As Reported,,469400000.0,450200000.0,465800000.0,463200000.0
ISRG,Diluted Average Shares,,360500000.0,358200000.0,358200000.0,357300000.0
ISRG,Basic Average Shares,,353500000.0,352100000.0,351700000.0,350900000.0
ISRG,Diluted EPS,,1.51,1.69,1.16,1.18
ISRG,Basic EPS,,1.54,1.72,1.18,1.2
ISRG,Diluted NI Availto Com Stockholders,,544900000.0,606200000.0,415700000.0,420800000.0
ISRG,Net Income Common Stockholders,,544900000.0,606200000.0,415700000.0,420800000.0
ISRG,Net Income,,544900000.0,606200000.0,415700000.0,420800000.0
ISRG,Minority Interests,,-2500000.0,-4500000.0,-4100000.0,-5200000.0
ISRG,Net Income Including Noncontrolling Interests,,547400000.0,610700000.0,419800000.0,426000000.0
ISRG,Net Income Continuous Operations,,547400000.0,610700000.0,419800000.0,426000000.0
ISRG,Tax Provision,,-8900000.0,-94800000.0,102200000.0,73200000.0
ISRG,Pretax Income,,538500000.0,515900000.0,522000000.0,499200000.0
ISRG,Net Non Operating Interest Income Expense,,69100000.0,65700000.0,56200000.0,36000000.0
ISRG,Total Other Finance Cost,,-69100000.0,,-56200000.0,
ISRG,Interest Income Non Operating,,,,,36000000.0
ISRG,Operating Income,,469400000.0,450200000.0,465800000.0,463200000.0
ISRG,Operating Expense,,776000000.0,827200000.0,701400000.0,708700000.0
ISRG,Research And Development,,284500000.0,260100000.0,249400000.0,244400000.0
ISRG,Selling General And Administration,,491500000.0,567100000.0,452000000.0,464300000.0
ISRG,Gross Profit,,1245400000.0,1277400000.0,1167200000.0,1171900000.0
ISRG,Cost Of Revenue,,645200000.0,650900000.0,576500000.0,584000000.0
ISRG,Total Revenue,,1890600000.0,1928300000.0,1743700000.0,1755900000.0
ISRG,Operating Revenue,,1890600000.0,1928300000.0,1743700000.0,1755900000.0
ISRG,Ordinary Shares Number,,354700000.0,352299592.0,352000000.0,351300000.0
ISRG,Share Issued,,354700000.0,352299592.0,352000000.0,351300000.0
ISRG,Tangible Book Value,,13580600000.0,12919800000.0,12149100000.0,11483300000.0
ISRG,Invested Capital,,13962600000.0,13307600000.0,12539000000.0,11879100000.0
ISRG,Working Capital,,6257600000.0,6229300000.0,7226500000.0,6493400000.0
ISRG,Net Tangible Assets,,13580600000.0,12919800000.0,12149100000.0,11483300000.0
ISRG,Common Stock Equity,,13962600000.0,13307600000.0,12539000000.0,11879100000.0
ISRG,Total Capitalization,,13962600000.0,13307600000.0,12539000000.0,11879100000.0
ISRG,Total Equity Gross Minority Interest,,14046400000.0,13397300000.0,12623500000.0,11959700000.0
ISRG,Minority Interest,,83800000.0,89700000.0,84500000.0,80600000.0
ISRG,Stockholders Equity,,13962600000.0,13307600000.0,12539000000.0,11879100000.0
ISRG,Gains Losses Not Affecting Retained Earnings,,-8700000.0,-12200000.0,-56500000.0,-79800000.0
ISRG,Other Equity Adjustments,,-8700000.0,-12200000.0,-56500000.0,-79800000.0
ISRG,Retained Earnings,,5067900000.0,4743000000.0,4209200000.0,3807700000.0
ISRG,Additional Paid In Capital,,8903000000.0,8576400000.0,8385900000.0,8150800000.0
ISRG,Capital Stock,,400000.0,400000.0,400000.0,400000.0
ISRG,Common Stock,,400000.0,400000.0,400000.0,400000.0
ISRG,Preferred Stock,,0.0,0.0,0.0,0.0
ISRG,Total Liabilities Net Minority Interest,,1781600000.0,2044200000.0,2089200000.0,1943600000.0
ISRG,Total Non Current Liabilities Net Minority Interest,,406500000.0,385500000.0,412800000.0,405200000.0
ISRG,Other Non Current Liabilities,,105800000.0,106100000.0,106200000.0,109500000.0
ISRG,Tradeand Other Payables Non Current,,250500000.0,233800000.0,264100000.0,250300000.0
ISRG,Non Current Deferred Liabilities,,50200000.0,45600000.0,42500000.0,45400000.0
ISRG,Non Current Deferred Revenue,,50200000.0,45600000.0,42500000.0,45400000.0
ISRG,Current Liabilities,,1375100000.0,1658700000.0,1676400000.0,1538400000.0
ISRG,Current Deferred Liabilities,,437500000.0,446100000.0,394800000.0,405200000.0
ISRG,Current Deferred Revenue,,437500000.0,446100000.0,394800000.0,405200000.0
ISRG,Pensionand Other Post Retirement Benefit Plans Current,,238400000.0,436400000.0,374800000.0,346600000.0
ISRG,Payables And Accrued Expenses,,699200000.0,776200000.0,906800000.0,786600000.0
ISRG,Current Accrued Expenses,,453000000.0,476100000.0,367800000.0,356700000.0
ISRG,Payables,,246200000.0,300100000.0,539000000.0,429900000.0
ISRG,Total Tax Payable,,51800000.0,111400000.0,342800000.0,230200000.0
ISRG,Accounts Payable,,194400000.0,188700000.0,196200000.0,199700000.0
ISRG,Total Assets,,15828000000.0,15441500000.0,14712700000.0,13903300000.0
ISRG,Total Non Current Assets,,8195300000.0,7553500000.0,5809800000.0,5871500000.0
ISRG,Other Non Current Assets,,573300000.0,597600000.0,596600000.0,645900000.0
ISRG,Non Current Deferred Assets,,917800000.0,910500000.0,701400000.0,666500000.0
ISRG,Non Current Deferred Taxes Assets,,917800000.0,910500000.0,701400000.0,666500000.0
ISRG,Investments And Advances,,2522600000.0,2120000000.0,1044900000.0,1332500000.0
ISRG,Investmentin Financial Assets,,2522600000.0,,1044900000.0,1333500000.0
ISRG,Available For Sale Securities,,2522600000.0,,1044900000.0,1333500000.0
ISRG,Goodwill And Other Intangible Assets,,382000000.0,387800000.0,389900000.0,395800000.0
ISRG,Other Intangible Assets,,33800000.0,39100000.0,41800000.0,47200000.0
ISRG,Goodwill,,348200000.0,348700000.0,348100000.0,348600000.0
ISRG,Net PPE,,3799600000.0,3537600000.0,3077000000.0,2830800000.0
ISRG,Accumulated Depreciation,,,-1562000000.0,-1468200000.0,
ISRG,Gross PPE,,,5099600000.0,4545200000.0,
ISRG,Construction In Progress,,,1354700000.0,1150800000.0,
ISRG,Other Properties,,,1149700000.0,1052900000.0,
ISRG,Machinery Furniture Equipment,,,1135800000.0,1051100000.0,
ISRG,Buildings And Improvements,,,1002100000.0,900900000.0,
ISRG,Land And Improvements,,,457300000.0,389500000.0,
ISRG,Properties,,,0.0,0.0,
ISRG,Current Assets,,7632700000.0,7888000000.0,8902900000.0,8031800000.0
ISRG,Other Current Assets,,272900000.0,176700000.0,182600000.0,188600000.0
ISRG,Prepaid Assets,,,,,
ISRG,Inventory,,1299300000.0,1220600000.0,1147500000.0,1005200000.0
ISRG,Finished Goods,,648200000.0,606000000.0,577100000.0,470000000.0
ISRG,Work In Process,,181300000.0,159900000.0,150100000.0,145000000.0
ISRG,Raw Materials,,469800000.0,454700000.0,420300000.0,390200000.0
ISRG,Receivables,,1260400000.0,1267500000.0,1097100000.0,1038800000.0
ISRG,Receivables Adjustments Allowances,,-16200000.0,,-15300000.0,-23400000.0
ISRG,Other Receivables,,248000000.0,137300000.0,232800000.0,236500000.0
ISRG,Accounts Receivable,,1028600000.0,1130200000.0,879600000.0,825700000.0
ISRG,Allowance For Doubtful Accounts Receivable,,,-27100000.0,,
ISRG,Gross Accounts Receivable,,,1157300000.0,879600000.0,825700000.0
ISRG,Cash Cash Equivalents And Short Term Investments,,4800100000.0,5223200000.0,6475700000.0,5799200000.0
ISRG,Other Short Term Investments,,1960600000.0,2473100000.0,2873700000.0,2363800000.0
ISRG,Cash And Cash Equivalents,,2839500000.0,2750100000.0,3602000000.0,3435400000.0
ISRG,Cash Equivalents,,2230600000.0,2223900000.0,3127700000.0,2915100000.0
ISRG,Cash Financial,,608900000.0,526200000.0,474300000.0,520300000.0
ISRG,Free Cash Flow,,23500000.0,-207200000.0,292100000.0,487400000.0
ISRG,Repurchase Of Capital Stock,,0.0,-66300000.0,0.0,0.0
ISRG,Capital Expenditure,,-241900000.0,-435500000.0,-256300000.0,-178300000.0
ISRG,End Cash Position,,2867100000.0,2770100000.0,3622900000.0,3457600000.0
ISRG,Beginning Cash Position,,2770100000.0,3622900000.0,3457600000.0,2165800000.0
ISRG,Effect Of Exchange Rate Changes,,6800000.0,-5400000.0,1700000.0,5200000.0
ISRG,Changes In Cash,,90200000.0,-847400000.0,163600000.0,1286600000.0
ISRG,Financing Cash Flow,,-46700000.0,-31500000.0,61800000.0,63300000.0
ISRG,Cash Flow From Continuing Financing Activities,,-46700000.0,-31500000.0,61800000.0,63300000.0
ISRG,Net Other Financing Charges,,-227100000.0,-9300000.0,-15600000.0,-11300000.0
ISRG,Proceeds From Stock Option Exercised,,180400000.0,44100000.0,77400000.0,74600000.0
ISRG,Net Common Stock Issuance,,0.0,-66300000.0,0.0,0.0
ISRG,Common Stock Payments,,0.0,-66300000.0,0.0,0.0
ISRG,Investing Cash Flow,,-128500000.0,-1044200000.0,-446600000.0,557600000.0
ISRG,Cash Flow From Continuing Investing Activities,,-128500000.0,-1044200000.0,-446600000.0,557600000.0
ISRG,Net Investment Purchase And Sale,,113400000.0,-606900000.0,-190500000.0,743200000.0
ISRG,Sale Of Investment,,1019300000.0,780300000.0,615700000.0,753700000.0
ISRG,Purchase Of Investment,,-905900000.0,-1387200000.0,-806200000.0,-10500000.0
ISRG,Net Business Purchase And Sale,,,-1800000.0,200000.0,-7300000.0
ISRG,Purchase Of Business,,,-1800000.0,200000.0,-7300000.0
ISRG,Net PPE Purchase And Sale,,-241900000.0,-435500000.0,-256300000.0,-178300000.0
ISRG,Purchase Of PPE,,-241900000.0,-435500000.0,-256300000.0,-178300000.0
ISRG,Operating Cash Flow,,265400000.0,228300000.0,548400000.0,665700000.0
ISRG,Cash Flow From Continuing Operating Activities,,265400000.0,228300000.0,548400000.0,665700000.0
ISRG,Change In Working Capital,,-540000000.0,-439200000.0,-100800000.0,5900000.0
ISRG,Change In Other Working Capital,,-275200000.0,116000000.0,15000000.0,73600000.0
ISRG,Change In Other Current Liabilities,,-75800000.0,-205000000.0,140300000.0,38300000.0
ISRG,Change In Payables And Accrued Expense,,-7500000.0,14000000.0,-8800000.0,19600000.0
ISRG,Change In Payable,,-7500000.0,14000000.0,-8800000.0,19600000.0
ISRG,Change In Account Payable,,-7500000.0,14000000.0,-8800000.0,19600000.0
ISRG,Change In Prepaid Assets,,-4100000.0,-13300000.0,51300000.0,13500000.0
ISRG,Change In Inventory,,-179600000.0,-184300000.0,-239600000.0,-161500000.0
ISRG,Change In Receivables,,2200000.0,-166600000.0,-59000000.0,22400000.0
ISRG,Changes In Account Receivables,,2200000.0,-166600000.0,-59000000.0,22400000.0
ISRG,Other Non Cash Items,,8500000.0,10400000.0,7700000.0,7500000.0
ISRG,Stock Based Compensation,,153300000.0,150400000.0,156100000.0,146500000.0
ISRG,Deferred Tax,,-7200000.0,-219800000.0,-43300000.0,-27000000.0
ISRG,Deferred Income Tax,,-7200000.0,-219800000.0,-43300000.0,-27000000.0
ISRG,Depreciation Amortization Depletion,,109300000.0,123200000.0,108600000.0,97300000.0
ISRG,Depreciation And Amortization,,109300000.0,123200000.0,108600000.0,97300000.0
ISRG,Amortization Cash Flow,,5100000.0,5100000.0,5100000.0,5000000.0
ISRG,Amortization Of Intangibles,,5100000.0,5100000.0,5100000.0,5000000.0
ISRG,Depreciation,,104200000.0,118100000.0,103500000.0,92300000.0
